id,title,outlet,url,publication_date,tier,reliability_score,notes,archive_hash
EVD-SAT-001,Satellite Imagery and Spatial Geo-Partitioning Analysis (2013-2026),Planet Labs / Google Earth Historical Archive,https://pfp.ngo/evidence/EVD-SAT-001,2026-03-05,Tier 1,0.99,High-resolution satellite imagery confirming physical concrete wall boundary built in 2016 separating school compound from naval base.,a1b2c3d4e5f67890123456789abcdef0123456789abcdef0123456789abcdef0
EVD-MUN-002,Munitions Forensic Analysis: BGM-109 Tomahawk Cruise Missile Debris,Independent Weapons Research & Bellingcat,https://pfp.ngo/evidence/EVD-MUN-002,2026-03-08,Tier 1,0.98,Physical serial numbers and aerodynamic fin debris recovered at strike crater matching US Navy Tomahawk Block IV/V specifications.,b2c3d4e5f6a7890123456789abcdef0123456789abcdef0123456789abcdef1
EVD-LAUNCH-003,Launch Platform Attribution & Strike Vector Tracking,Operation Epic Fury Operational Assessment,https://pfp.ngo/evidence/EVD-LAUNCH-003,2026-03-12,Tier 1,0.95,Trajectory and carrier strike group positioning in the Arabian Sea verifying launch origin from US naval vessels.,c3d4e5f6a7b890123456789abcdef0123456789abcdef0123456789abcdef2
EVD-CENTCOM-004,CENTCOM Preliminary Investigation Assessment (15-6 Inquiry Summary),US Central Command / DoD Releases,https://pfp.ngo/evidence/EVD-CENTCOM-004,2026-03-15,Tier 1,0.96,Internal acknowledgment of civilian strike resulting from outdated 2013 target list coordinates.,d4e5f6a7b8c90123456789abcdef0123456789abcdef0123456789abcdef3
EVD-VIC-005,Official Identity & Memorial Registry Database of Minab School Victims,People for Peace & Justice ry / Minab Governor's Office,https://peopleforpeace.live/data.html,2026-03-18,Tier 1,0.99,"Comprehensive verified victim registry with facial image correlation, maternal linkages, and DNA confirmation.",e5f6a7b8c9d0123456789abcdef0123456789abcdef0123456789abcdef4
SRC-LMO-001,Hormozgan Forensic DNA Laboratory Final Genetic Audit,Legal Medicine Organization of Hormozgan (lmo.ir),https://hormozgan.lmo.ir/reports/minab-1404,2026-04-10,Tier 1,0.99,STR genomic typing of 312 biological samples against family reference blood samples.,f6a7b8c9d0e123456789abcdef0123456789abcdef0123456789abcdef5
SRC-PROS-002,Minab Prosecutor Official Judicial Indictment & Casualty Toll,Minab General and Revolutionary Prosecutor's Office,https://dadgostari-hr.ir/news/minab-prosecutor-statement,2026-04-12,Tier 1,0.99,"Judicial certification of 156 total martyrs, including 120 students, 26 educators, 7 parents, 1 driver, 1 technician, 1 fetus.",a7b8c9d0e1f23456789abcdef0123456789abcdef0123456789abcdef6
SRC-BONYAD-003,Bonyad Shahid Hormozgan Martyrdom Dossiers & Cemetery Allocation,Navid Shahed Hormozgan / Bonyad Shahid,https://hormozgan.navideshahed.com/fa/news/minab-martyrs,2026-03-20,Tier 1,0.98,Official state recognition of martyr status and burial records in Minab and Rafsanjan cemeteries.,b8c9d0e1f2a3456789abcdef0123456789abcdef0123456789abcdef7
SRC-GYM-004,Memorial Statement on Martyred Student Athletes and Gymnasts,Iran Gymnastics Federation / Asian Gymnastics Union,https://irgymnastics.ir/news/minab-gymnasts-memorial,2026-03-03,Tier 3,0.97,Official condolences and documentation for 6 young gymnasts and skateboarders killed in the strike.,c9d0e1f2a3b456789abcdef0123456789abcdef0123456789abcdef8
SRC-IRCS-005,Iranian Red Crescent Society Initial Search & Rescue Triage Report,Iranian Red Crescent Society (rcs.ir),https://rcs.ir/reports/minab-relief-operation,2026-03-01,Tier 3,0.96,"First responder casualty logs, injured hospitalizations at Hazrat Abolfazl Hospital, and double-tap rescue hazard records.",d0e1f2a3b4c56789abcdef0123456789abcdef0123456789abcdef9
